ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
9679341000033110	26525011000001104	Luventa XL 16mg capsules (Fontus Health Ltd)	Luventa XL 16mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	16.000mg		26654
9699241000033110	27424811000001100	Gazylan XL 16mg capsules (Teva UK Ltd)	Gazylan XL 16mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	16.000mg		14984
9699441000033111	27425011000001105	Gazylan XL 24mg capsules (Teva UK Ltd)	Gazylan XL 24mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	24.000mg		17077
9699541000033112	27424611000001104	Gazylan XL 8mg capsules (Teva UK Ltd)	Gazylan XL 8mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	8.000mg		4182
10217341000033112	28882411000001101	Consion XL 8mg capsules (Dr Reddy's Laboratories (UK) Ltd)	Consion XL 8mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	8.000mg		56
10217441000033118	28882611000001103	Consion XL 16mg capsules (Dr Reddy's Laboratories (UK) Ltd)	Consion XL 16mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	16.000mg		72
10217541000033117	28882811000001104	Consion XL 24mg capsules (Dr Reddy's Laboratories (UK) Ltd)	Consion XL 24mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	24.000mg
11825741000033113	24020111000001103	Galzemic XL 8mg capsules (Zentiva Pharma UK Ltd)	Galzemic XL 8mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	8.000mg		3981
11825841000033115	24020511000001107	Galzemic XL 16mg capsules (Zentiva Pharma UK Ltd)	Galzemic XL 16mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	16.000mg		9164
11825941000033111	24021211000001103	Galzemic XL 24mg capsules (Zentiva Pharma UK Ltd)	Galzemic XL 24mg capsules	Modified-release capsule	Oral	Galantamine hydrobromide	24.000mg		6818
12603841000033115	35312411000001109	Galzemic 4mg/ml oral solution (Zentiva Pharma UK Ltd)	Galzemic 4mg/ml oral solution	Oral solution	Oral	Galantamine hydrobromide	4.000mg/1.000ml		289
12640941000033113	35795211000001100	Gaalin 16mg modified-release capsules (Milpharm Ltd)	Gaalin 16mg modified-release capsules	Modified-release capsule	Oral	Galantamine hydrobromide	16.000mg		34
12641041000033115	35796711000001104	Gaalin 24mg modified-release capsules (Milpharm Ltd)	Gaalin 24mg modified-release capsules	Modified-release capsule	Oral	Galantamine hydrobromide	24.000mg		5
12641141000033116	35795411000001101	Gaalin 8mg modified-release capsules (Milpharm Ltd)	Gaalin 8mg modified-release capsules	Modified-release capsule	Oral	Galantamine hydrobromide	8.000mg		12
