MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
5097691000006113	55	^ESCTRE509769		Recurrent infective cystitis	236703003	354787012		32
5888011000006114	4289	^ESCTCO588801		Coliform urinary tract infection	301010001	442240012		32
5888021000006118	543	^ESCTES588802		Escherichia coli urinary tract infection	301011002	442241011		31
5888031000006115	51	^ESCTPR588803		Proteus urinary tract infection	301012009	442242016		31
5888041000006113	10	^ESCTPR588804		Proteus UTI (urinary tract infection)	301012009	3037918014		31
5888051000006110	56	^ESCTPS588805		Pseudomonas urinary tract infection	301013004	442243014		31
5968141000006118	48	^ESCTAC596814		Acute infective cystitis	307426000	450688019		31
6013061000006118	221	^ESCTBA601306		Bacterial urinary infection	312124009	455789019		31
6013071000006113	13	^ESCTBA601307		Bacterial UTI (urinary tract infection)	312124009	3037976016		31
6013891000006117	1	^ESCTIN601389		Infective ureteritis	312221005	455895011		31
6051761000006111	780	^ESCTSU605176		Suspected urinary tract infection	314940005	2913528010		27
6348561000006113	1	^ESCTIN634856		Infection of bladder catheter	371061003	1209769010		31
6348571000006118	1	^ESCTBL634857		Bladder catheter infection	371061003	1228921017		31
6383261000006110	47	^ESCTPY638326		Pyocystis	373611003	1212077012		32
6995111000006113	301	^ESCTUP699511		Upper urinary tract infection	422747000	2645790019		31
7005451000006113	2	^ESCTRE700545		Recurrent obstructive pyelonephritis	423322005	2645802010		31
7028541000006114	1	^ESCTBA702854		Bacterial cystitis	424551004	2645791015		31
7059681000006114	2	^ESCTUR705968		Urethral wart	426479005	2674583011		31
7083311000006117	5	^ESCTCH708331		Chronic lower urinary tract infection	428091000	2692098014		31
7083321000006113	20	^ESCTCH708332		Chronic lower UTI (urinary tract infection)	428091000	3037720018		31
7134991000006111	7	^ESCTAC713499		Acute upper urinary tract infection	431308006	2767651017		31
7135011000006118	16	^ESCTAC713501		Acute upper UTI (urinary tract infection)	431308006	3038105015		31
7135021000006114	45215	^ESCTAC713502		Acute urinary tract infection	431309003	2768145014		32
7135041000006119	59	^ESCTAC713504		Acute UTI (urinary tract infection)	431309003	3038196014		32
7144721000006113	57	^ESCTAC714472		Acute lower urinary tract infection	431737008	2771348011		31
7251601000006112	2	^ESCTHI725160		History of chronic urinary tract infection	441547007	2816907017		31
7499111000006110	1	^ESCTTE749911		Termination of pregnancy complicated by urinary tract infection	609491002	2966807017		32
7534301000006113	29	^ESCTUR753430		Urinary tract infection associated with catheter	700372006	2990341015		32
7967791000006114	4	^ESCTHI796779		History of urinary tract infection	1201000119107	2966918018		31
7978191000006116	5	^ESCTOB797819		Obstructive pyelonephritis	4181000119109	3013584019		31
8031341000006117	2	^ESCTFE803134		Febrile urinary tract infection	99631000119101	3010650010		31
8034821000006119	4	^ESCTBA803482		Bacterial vaginosis in pregnancy	110081000119109	2990686011		31
8120621000006115	8	^ESCTUR812062		Urinary tract infection caused by Enterococcus	368991000119100	3301589012		31
8120631000006117	10	^ESCTUR812063		Urinary tract infection caused by Klebsiella	369001000119100	3289693010		31
8120641000006110	1	^ESCTUR812064		Urinary tract infection caused by Pseudomonas	369011000119102	3289805010		31
11632941000006113	1	^ESCTUR1163294		Urinary tract infection prophylaxis	345713791000132107	3334825012		31
13938151000006115	1	^ESCT1393815		Acute pyelonephritis caused by bacterium	838353009	3896553013		31
13938161000006118	3	^ESCT1393816		Acute bacterial pyelonephritis	838353009	3896555018		31
14182881000006111	1	^ESCT1418288		Urinary tract infection caused by group B streptococcus	16916631000119104	3991454015		31
14446131000006110	1	^ESCT1444613		Infection of urachal sinus	1149232006	4554776014		31
14504521000006111	233	^ESCT1450452		Urinary tract infection caused by Escherichia coli	301011002	4556068017		31
15311931000006113	1	^ESCT1531193		At increased risk of urinary tract infection	225956009	5155074011		31
