medcodeid	term_medcode
5155791000006113	Skeletal survey - dialysis follow-up
5308241000006119	Arteriovenous fistula operation
5308251000006117	Operative procedure on arteriovenous fistula
5397561000006117	Arteriovenous shunt
5397541000006116	Arteriovenous shunt - device
5397551000006119	AVS - Arteriovenous shunt
5397641000006115	Arteriovenous shunt tip
5445811000006110	Haemodialysis circuit
5445821000006119	Hemodialysis circuit
5593511000006113	Percutaneous arteriovenous fistula device procedure
5600411000006112	Percutaneous embolisation of arteriovenous fistula
5600421000006116	Percutaneous embolization of arteriovenous fistula
5614351000006110	Disorder of surgical arteriovenous fistula
5645831000006119	Disorder of arteriovenous graft
5645841000006112	Disorder of arteriovenous shunt
5645851000006114	Arteriovenous graft occlusion
5645861000006111	Arteriovenous graft stenosis
5645871000006116	Arteriovenous graft thrombosis
5645881000006118	Arteriovenous graft infection
5645901000006116	Arteriovenous graft hemorrhage
5645891000006115	Arteriovenous graft haemorrhage
5645911000006118	Arteriovenous graft rupture
5645921000006114	Arteriovenous graft aneurysm
5645931000006112	Arteriovenous shunt haemorrhage
5645941000006119	Arteriovenous shunt hemorrhage
5645951000006117	Arteriovenous shunt infection
5645961000006115	Arteriovenous shunt thrombosis
5645971000006110	Arteriovenous shunt stenosis
5645981000006113	Arteriovenous shunt occlusion
5913541000006117	Arteriovenous fistula aneurysm
5919061000006113	Arteriovenous graft material
6013791000006111	Surgical arteriovenous fistula
6014961000006119	Arteriovenous graft
2751501000006118	Chronic haemodialysis diet
2751511000006115	Chronic hemodialysis diet
6296951000006115	Patch repair of arteriovenous fistula
3344951000006117	Anaesthesia for shunt revision, dialysis
3344961000006115	Anesthesia for shunt revision, dialysis
3753591000006115	Plastic repair of arteriovenous aneurysm
3753601000006111	Plasty procedure of arteriovenous fistula
3753581000006118	Repair of arteriovenous fistula
3933131000006119	Anesthesia for repair of arteriovenous fistula
3933121000006117	Anaesthesia for repair of arteriovenous fistula
2863331000006112	Removal of thrombus from arteriovenous shunt or cannula
3135211000006116	Removal of arteriovenous shunt for renal dialysis
3389671000006112	Arteriovenous shunt for renal dialysis by external cannula
3389681000006110	Creation of arteriovenous shunt or fistula for dialysis by external cannula
