MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
85223011	46	H1y50	H1y5000	Abscess of vocal cords	51152000	85223011		32
86493013	5	A9132	A913200	Secondary syphilis of pharynx	51960003	86493013		32
87124011	6542	F5102	F510200	Acute non-suppurative otitis media - mucoid	52353000	1231111010		32
87480013	122	H31y1	H31y100	Chronic tracheobronchitis	52571006	87480013		32
87729013	15	A12y3	A12y300	Tuberculosis of nasal sinus	52721006	87729013		32
91647017	25928	H042-1	H042.11	Laryngotracheitis	55130001	91647017		32
92029013	9579	H050	H050.00	Acute laryngopharyngitis	55355000	92029013		32
92429016	538	H29	H29..00	Avian influenza	55604004	92429016		32
93954019	19	A12y1	A12y100	Tuberculosis of nasopharynx	56498009	93954019		32
98475016	249	F5104	F510400	Acute allergic serous otitis media	59275002	98475016		32
99508014	1280	H0611	H061100	Acute obliterating bronchiolitis	59903001	99508014		32
99622016	128	H0421	H042100	Acute laryngotracheitis with obstruction	59967003	99622016		32
99894013	14685	H131	H131.00	Chronic frontal sinusitis	60130002	99894013		32
105519017	93011	H31	H31..00	Chronic bronchitis	63480004	105519017		32
106138013	79	H1211	H121100	Atrophic pharyngitis	63866002	106138013		32
106996011	7074	H0410	H041000	Acute tracheitis without obstruction	64369009	106996011		32
107009017	71050	H042	H042.00	Acute laryngotracheitis	64375000	107009017		32
107173015	2369	H220	H220.00	Pneumonia due to Klebsiella pneumoniae	64479007	107173015		32
107470010	6432	H56y1	H56y100	Interstitial pneumonia	64667001	107470010		32
108177016	116	A054	A054.00	Amoebic lung abscess	65095005	108177016		32
110441014	13	A204	A204.00	Secondary pneumonic plague	67525007	110441014		32
112674013	11608	H012	H012.00	Acute ethmoidal sinusitis	67832005	112674013		32
113403018	490869	H010	H010.00	Acute maxillary sinusitis	68272006	113403018		32
116837013	227	A123	A123.00	Tuberculous laryngitis	70341005	116837013		32
117891019	287	H043-1	H043.11	Viral epiglottitis	70976000	117891019		32
118208010	726346	H044	H044.00	Croup	85915003	142425010		32
119572016	154	F5130	F513000	Chronic allergic otitis media	71958004	119572016		15
120297011	43	A3A1	A3A1.00	Rhinoscleroma	72409005	120297011		32
121629017	2802	H132	H132.00	Chronic ethmoidal sinusitis	73237007	121629017		32
121974010	7240	H530	H530.00	Abscess of lung	73452002	121974010		32
122874011	2	AB511	AB51100	Pulmonary paracoccidioidomycosis	73995006	122874011		32
123588010	2831	H311	H311.00	Mucopurulent chronic bronchitis	74417001	123588010		32
