MedCodeId	Observations	Term
2667431000006115	74	Primary degenerative dementia of the Alzheimer type, presenile onset, with depression
7955161000006118	71	Dementia with Down syndrome
8044981000006111	70	Alzheimer's disease co-occurrent with delirium
7755121000006115	68	Behavioural variant of frontotemporal dementia
359091000006115	68	[X] Presenile psychosis NOS
7955111000006116	65	Dementia due to chronic subdural haematoma
5005741000006115	60	Traumatic encephalopathy
2603271000006110	59	Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated
5618231000006117	58	Frontal lobe degeneration
6024071000006116	58	Lewy body dementia
363041000006118	54	[X]Alzheimer's disease type 2
8030791000006119	54	Altered behaviour in Alzheimer's disease
12106351000006118	53	Behavioural and psychological symptoms of dementia
9902251000006116	53	Vascular dementia without behavioural disturbance
6348061000006115	53	Senile dementia with psychosis
7510731000006118	53	Dementia associated with normal pressure hydrocephalus
7510741000006111	53	Dementia associated with multiple sclerosis
7840631000006118	47	Ischaemic vascular dementia
1235534016	47	Binswanger's encephalopathy
3630171000006111	45	Alcoholic amnestic syndrome
8032911000006111	43	Early onset Alzheimer's disease with behavioural disturbance
125891000006119	43	Steele - Richardson Oszewski syndrome
8010111000006117	42	Primary degenerative dementia
9896131000006110	40	Behavioural disturbance co-occurrent and due to late onset Alzheimer dementia
3630161000006116	38	Amnesic syndrome due to alcohol
3802641000006114	38	LBD - Lewy body disease
5005581000006119	31	Focal Alzheimer's disease
142920010	31	Kuru
12370661000006114	30	Dementia with mixed aetiology
2929931000006112	29	Primary degenerative dementia of the Alzheimer type, senile onset, with depression
2575731000006115	28	Primary degenerative dementia of the Alzheimer type, senile onset, with delirium
5005501000006111	24	Familial Alzheimer's disease of early onset
5005561000006112	24	Non-familial Alzheimer's disease of late onset
6897241000006118	24	Dementia of the Alzheimers type with early onset
496157019	23	General paralysis of insane
2729771000000110	22	Predominantly cortical dementia
2825541000006118	22	Prion disease
8024641000006111	21	Altered behaviour in Huntington's dementia
13913061000006118	20	Disinhibited behaviour due to dementia
2931231000006118	18	AD - Alzheimer's disease
7750411000006114	17	Right temporal lobar atrophy
5005881000006116	16	Patchy dementia
1805751000006115	16	Variant Creutzfeldt-Jakob disease
12106381000006114	15	BPSD - behavioural and psychological symptoms of dementia
12106391000006112	12	Behavioral and psychological symptoms of dementia
3591821000006112	12	Gerstmann-Straussler-Scheinker syndrome
5005541000006113	11	Familial Alzheimer's disease of late onset
3630091000006111	11	Wernicke-Korsakoff syndrome
7863681000006115	11	Epilepsy co-occurrent and due to dementia
8033241000006113	10	Multi-infarct dementia due to atherosclerosis
2773801000006117	10	Non-alcoholic Korsakoff's psychosis
6348031000006112	9	Senile dementia with delusion
7511421000006118	8	Post-traumatic dementia with behavioural change
7560531000006110	8	Frontotemporal dementia with parkinsonism-17
346897015	8	Presbyophrenic psychosis
14669521000006116	8	Dementia with AIDS (acquired immunodeficiency syndrome)
2664601000006115	7	Multi-infarct dementia with delirium
5005521000006118	7	Non-familial Alzheimer's disease of early onset
5005671000006118	7	Frontal lobe degeneration with motor neurone disease
8031761000006117	6	Dementia due to Parkinsons disease
4763081000006118	6	Senile delirium
3511181000006115	6	Parkinson-dementia complex of Guam
7710381000006117	6	Dementia co-occurrent with human immunodeficiency virus infection
8024691000006119	6	Epileptic dementia with behavioural disturbance
4768981000006114	5	Cerebral degeneration due to Creutzfeldt-Jakob disease
5618271000006119	5	DFT - Dementia frontal lobe type
12370641000006110	5	Dementia with mixed etiology
3802671000006118	5	Cortical Lewy body disease
8031771000006112	4	Dementia due to Parkinson disease
2664611000006117	4	Vascular dementia, with delirium
8009521000006114	4	Dementia due to Picks disease
8089241000006117	4	Vascular dementia with behavioral disturbance
8014401000006116	4	Early onset dementia with delusions
6973421000006116	4	Dementia associated with AIDS
3392881000006115	4	Primary degenerative dementia of the Alzheimer type, senile onset, with delusions
3630121000006110	4	Korsakoff psychosis
3630141000006115	4	Korsakov syndrome - alcoholic
7955131000006110	4	Dementia due to herpes encephalitis
3636474012	4	Dementia due to and following injury of head
3964671000006119	4	Chronic progressive subcortical encephalopathy
12106361000006116	3	Neuropsychiatric symptoms
7973121000006114	3	Hallucinations co-occurrent and due to late onset dementia
3384371000006119	3	Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions
3414261000006114	3	Multi infarct dementia
3630151000006118	3	Korsakov psychosis
2510981000006118	3	CJD - Creutzfeldt-Jakob disease
3802621000006119	3	Lewy body variant of Alzheimer's disease
13810191000006114	3	SDLT - senile dementia of Lewy body type
13943421000006112	3	Dementia due to iron deficiency
2722931000006114	2	Multi-infarct dementia with depression
4539871000006116	2	History of dementia
2912321000006113	2	Multi-infarct dementia with delusions
2502981000006117	2	Alcohol-induced persisting dementia
6964691000006110	2	Presenile dementia associated with AIDS
7043661000006117	2	Dementia associated with Parkinson Disease
3189531000006118	2	Diffuse Lewy body disease with spongiform cortical change
7559621000006112	2	CHMP2B-related frontotemporal dementia
7838821000006115	2	Dementia co-occurrent and due to neurocysticercosis
8024671000006115	2	Dementia due to multiple sclerosis with altered behaviour
3938671000006117	2	Creutzfeldt-Jakob agent
3964591000006117	2	Subcortical leucoencephalopathy
3964661000006114	2	Subcortical atherosclerotic dementia
2649061000006115	2	Dialysis dementia
8030801000006118	2	Altered behavior in Alzheimer's disease
8032931000006117	1	Early onset Alzheimers disease with behavioral disturbance
2707661000006119	1	Pick disease
2707671000006114	1	Picks disease
8042801000006115	1	Lewy body dementia with behavioral disturbance
8044951000006115	1	Alzheimers dementia with depressed mood
2748441000006111	1	SD - Senile dementia
8009531000006112	1	Dementia due to Pick disease
5005421000006117	1	Amyotrophic lateral sclerosis with dementia
2912331000006111	1	Vascular dementia, with delusions
3029421000006116	1	Inhalant-induced persisting dementia
6973461000006110	1	Acquired immune deficiency syndrome dementia complex
7263021000006116	1	Dementia due to Huntingtons disease
2575741000006113	1	Dementia of the Alzheimer's type, with late onset, with delirium
3341631000006115	1	General paresis
3350441000006115	1	Organic dementia
3392901000006118	1	Alzheimers dementia, late onset, with delusions
3414231000006117	1	MID - Multi-infarct dementia
3469041000006117	1	Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia
3558401000006117	1	Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium
7511961000006119	1	Dementia associated with neurosyphilis
7511971000006114	1	Dementia associated with viral encephalitis
7515121000006112	1	Primary degenerative dementia of the Alzheimer type, senile onset in remission
7560411000006117	1	Frontotemporal lobar degeneration
3653671000006113	1	Multi-infarct dementia, uncomplicated
7737011000006118	1	Parkinsonism with dementia of Guadeloupe
7750421000006118	1	Right temporal atrophy variant frontotemporal dementia
7755131000006117	1	Behavioral variant of frontotemporal dementia
7838831000006117	1	Dementia caused by toxin
7838851000006112	1	Dementia due to chromosomal anomaly
3636471016	1	Dementia due to prion disease
8024621000006116	1	Altered behaviour co-occurrent and due to Pick's disease
3964651000006112	1	Subcortical arteriosclerotic encephalopathy
14091281000006114	1	Dementia with progressive multifocal leucoencephalopathy
2664621000006113	NA	Multi infarct dementia with delirium
2667441000006113	NA	Dementia of the Alzheimer's type, with early onset, with depressive mood
2667451000006110	NA	Alzheimers dementia, early onset, with depressed mood
8032921000006115	NA	Early onset Alzheimer's disease with behavioral disturbance
8032941000006110	NA	Early onset Alzheimer disease with behavioral disturbance
8033251000006110	NA	Multi infarct dementia with atherosclerosis
4196131000006116	NA	Psychoactive substance-induced organic dementia
4196141000006114	NA	Psychoactive substance induced dementia
8041011000006119	NA	Dementia due to Rett's syndrome
2722941000006116	NA	Vascular dementia, with depressive mood
8044921000006112	NA	Delusions in Alzheimers disease
8044931000006110	NA	Delusions in Alzheimer disease
8044961000006118	NA	Depressed mood in Alzheimer disease
7969291000006113	NA	Dementia of the Alzheimer type with behavioral disturbance
7969381000006117	NA	Dementia with behavioral disturbance
9896141000006116	NA	Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia
9902261000006116	NA	Vascular dementia without behavioral disturbance
2773841000006115	NA	Non-alcoholic Korsakoff psychosis
4763141000006111	NA	Korsakov alcoholic psychosis with peripheral neuritis
4769001000006112	NA	Cerebral degeneration due to progressive multifocal leukoencephalopathy
8009541000006119	NA	Dementia co-occurrent and due to Pick's disease
4997811000006116	NA	Language disorder of dementia
5005511000006114	NA	Familial Alzheimer disease of early onset
5005531000006115	NA	Non-familial Alzheimer disease of early onset
5005551000006110	NA	Familial Alzheimer disease of late onset
5005571000006117	NA	Non-familial Alzheimer disease of late onset
5005591000006116	NA	Focal Alzheimer disease
5005621000006119	NA	Pick disease with Pick bodies
5005611000006110	NA	Pick's disease with Pick bodies
5005641000006114	NA	Pick disease with Pick cells and no Pick bodies
5005631000006116	NA	Pick's disease with Pick cells and no Pick bodies
5005721000006110	NA	Progressive aphasia in Alzheimer disease
5005751000006118	NA	Post-traumatic dementia
5005771000006111	NA	Dementia due to head trauma
5005811000006111	NA	Punch drunk
5005781000006114	NA	Punch drunk syndrome
5005791000006112	NA	Punchdrunk encephalopathy
5005801000006113	NA	Dementia pugilistica
5005821000006115	NA	Boxer's dementia
5005831000006117	NA	Spongiform encephalopathy
2912341000006118	NA	Multi infarct dementia with delusions
2929951000006117	NA	Alzheimers dementia, late onset, with depressive mood
2929941000006119	NA	Dementia of the Alzheimer's type, with late onset, with depressive mood
11904611000006116	NA	Progressive supranuclear palsy
2966081000006114	NA	Nuchal dystonia-dementia syndrome
2966101000006118	NA	PSP - Progressive supranuclear palsy
11903671000006114	NA	Steele-Richardson-Olszewski syndrome
2966061000006116	NA	Progressive supranuclear ophthalmoplegia
11904601000006118	NA	Progressive supranuclear ophthalmoplegia
5931631000006119	NA	nvCJD - New variant of Creutzfeldt-Jakob disease
5931641000006112	NA	vCJD - variant Creutzfeldt-Jakob disease
5931651000006114	NA	Creutzfeldt-Jakob variant disease
8014391000006118	NA	Presenile dementia with delusions
6348041000006119	NA	Senile delusion
6897221000006113	NA	Primary degenerative dementia of the Alzheimer type, early onset
6900191000006112	NA	Primary degenerative dementia of the Alzheimer type, late onset
6957311000006114	NA	Organic dementia associated with acquired immunodeficiency syndrome
6957301000006111	NA	Organic dementia associated with AIDS
6964701000006110	NA	Presenile dementia associated with acquired immunodeficiency syndrome
6973451000006113	NA	ADC - Acquired immune deficiency syndrome dementia complex
6973431000006118	NA	Acquired immune deficiency syndrome-related dementia
6973441000006111	NA	AIDS - Acquired immune deficiency syndrome dementia complex
6973471000006115	NA	Dementia associated with acquired immunodeficiency syndrome
7103601000006116	NA	Dementia due to Creutzfeldt-Jakob disease
7263011000006112	NA	Dementia due to Huntington disease
2575751000006110	NA	Dementia Alzheimers type, late onset with delirium
3341681000006119	NA	GPI - General paresis of the insane
3341651000006110	NA	Progressive general paresis
3341661000006112	NA	Paretic neurosyphilis
3341641000006113	NA	Dementia paralytica
3341671000006117	NA	General paresis of the insane
3341701000006116	NA	Paralytic dementia
3384381000006116	NA	Dementia of the Alzheimer's type, with early onset, with delusions
3392891000006117	NA	Dementia of the Alzheimer's type, with late onset, with delusions
3511191000006117	NA	Parkinson's disease - dementia complex on Guam
2603281000006113	NA	Dementia of the Alzheimer's type, with early onset, uncomplicated
3558411000006119	NA	Dementia of the Alzheimer's type, with early onset, with delirium
3575051000006115	NA	Dementia of the Alzheimer's type, with late onset, uncomplicated
3591831000006110	NA	GSS - Gerstmann-Straussler-Scheinker syndrome
3630101000006117	NA	Amnestic syndrome of Wernicke's disease
7510721000006116	NA	Dementia associated with cerebral lipidosis
7511431000006115	NA	Post-traumatic dementia with behavioral change
7512791000006115	NA	Dementia associated with cerebral anoxia
7515131000006110	NA	Primary degenerative dementia of the Alzheimer type, presenile onset in remission
7558561000006114	NA	PLOSL - polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
7558571000006119	NA	Nasu-Hakola disease
7558551000006112	NA	Presenile dementia with bone cysts
7558541000006110	NA	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
7559631000006110	NA	Frontotemporal dementia with gene located on 3p11
7559641000006117	NA	Chromosome 3-linked frontotemporal dementia
7560281000006113	NA	Familial encephalopathy with neuroserpin inclusion bodies
7560291000006111	NA	Familial dementia with neuroserpin inclusion bodies
7560401000006115	NA	Hereditary dysphasic disinhibition dementia
7560391000006117	NA	GRN-related frontotemporal dementia
7560551000006115	NA	Wilhelmsen-Lynch disease
7560561000006118	NA	Disinhibition-dementia-parkinsonism-amytrophy complex
7560541000006117	NA	Familial Pick's disease
7560571000006113	NA	FTDP-17 - Frontotemporal dementia with parkinsonism 17
3653681000006111	NA	Vascular dementia, uncomplicated
3653691000006114	NA	Multi infarct dementia, uncomplicated
7699251000006118	NA	Sporadic Jakob-Creutzfeldt disease
7704691000006115	NA	Presenile dementia co-occurrent with human immunodeficiency virus infection
7735591000006112	NA	Iatrogenic Jakob-Creutzfeldt disease
7735601000006116	NA	Iatrogenic Creutzfeldt-Jakob disease
7737021000006114	NA	Parkinsonism co-occurrent with dementia of Guadeloupe
7737911000006117	NA	fCJD (Familial Creutzfeldt-Jakob disease)
7737921000006113	NA	Inherited Creutzfeldt-Jakob disease
7737901000006115	NA	Familial Creutzfeldt-Jakob
7838841000006110	NA	Dementia due to metabolic abnormality
7840641000006111	NA	Ischemic vascular dementia
7861131000006111	NA	Dementia due to disorder of central nervous system
7861141000006118	NA	Dementia due to infectious disease
7863701000006117	NA	Epilepsy with dementia
7863691000006117	NA	Epileptic dementia
3688931000006118	NA	Alcohol-induced persisting amnestic disorder
7955091000006113	NA	Dementia caused by heavy metal exposure
