medcodeid	term_medcode
7240511000006118	Encapsulating peritoneal sclerosis associated with peritoneal dialysis
7267341000006117	Measurement of creatinine clearance normalised to body surface area in peritoneal dialysis fluid specimen
7267351000006115	Measurement of creatinine clearance normalized to body surface area in peritoneal dialysis fluid specimen
7261621000006111	Measurement of creatinine clearance in peritoneal dialysis fluid specimen
7262731000006112	Cloudy peritoneal dialysis effluent
7279961000006115	Dependence on peritoneal dialysis
7289841000006118	Quantitative measurement of creatinine in 4 hour postperitoneal dialysis fluid specimen
7289851000006116	Quantitative measurement of mass concentration of creatinine in 4 hour postperitoneal dialysis fluid specimen
7286491000006115	Quantitative measurement of mass concentration of creatinine in 2 hour postperitoneal dialysis fluid specimen
7286481000006118	Quantitative measurement of creatinine in 2 hour postperitoneal dialysis fluid specimen
7286511000006114	Quantitative measurement of mass concentration of creatinine corrected for glucose concentration in overnight peritoneal dialysis fluid specimen
7286501000006111	Quantitative measurement of mass concentration of creatinine corrected for glucose concentration in overnight peritoneal dialysis fluid
7293931000006117	Quantitative measurement of glucose in first peritoneal dialysis fluid specimen
7293941000006110	Quantitative measurement of mass concentration of glucose in first peritoneal dialysis fluid specimen
7293001000006112	Quantitative measurement of glucose in predialysis peritoneal dialysis fluid specimen
7293011000006110	Quantitative measurement of mass concentration of glucose in predialysis peritoneal dialysis fluid specimen
7293281000006110	Quantitative measurement of concentration of glucose in peritoneal dialysis fluid at 4 hours postperitoneal dialysis
7293291000006113	Quantitative measurement of mass concentration of glucose in peritoneal dialysis fluid specimen at 4 hours postperitoneal dialysis
7285721000006115	Quantitative measurement of mass concentration of glucose in peritoneal dialysis fluid specimen
7285711000006111	Quantitative measurement of glucose in peritoneal dialysis fluid specimen
7300651000006115	Peritoneal dialysis fluid specimen obtained before dialysis
7300661000006118	Predialysis peritoneal dialysis fluid specimen
7302341000006111	Postdialysis peritoneal dialysis fluid specimen
7302331000006118	Peritoneal dialysis fluid specimen obtained after dialysis
7338641000006112	Dialysis fluid specimen obtained after continuous ambulatory peritoneal dialysis
7344691000006110	Peritoneal dialysis technique
7369251000006114	Replacement of peritoneal dialysis transfer set
7407851000006113	Peritoneal dialysis catheter adaptor
7401751000006112	Peritoneal dialysis catheter, acute/chronic
7400861000006114	Peritoneal/extracorporeal dialysis dressing procedure kit
7404651000006116	Peritoneal dialysis catheter, chronic
7401851000006118	Peritoneal dialysis dialysate
7405731000006115	Peritoneal dialysis system sterile connection unit
7400811000006111	Peritoneal dialysis system dialysate filter
7400671000006118	Peritoneal dialysis system
7404671000006114	Peritoneal dialysis catheterization kit
7404661000006119	Peritoneal dialysis catheterisation kit
7448891000006111	Continuous ambulatory peritoneal dialysis (CAPD) transfer set
7405661000006115	Peritoneal dialysis dialysate warmer
7406851000006110	Peritoneal dialysis system tubing set
7408491000006117	Peritoneal dialysis catheter, acute
7484161000006113	Leakage of peritoneal dialysis catheter
7482341000006116	Infection associated with peritoneal dialysis catheter
7483511000006116	Malfunction of peritoneal dialysis catheter
7564221000006119	Inadequate peritoneal dialysis
7570441000006114	Fluoroscopy guided peritoneal dialysis catheter procedure
7570451000006111	Peritoneal dialysis catheter procedure using fluoroscopic guidance
7589131000006114	Difficulty managing peritoneal dialysis
7590061000006113	Knowledge level about peritoneal dialysis
7590071000006118	Deficient knowledge of peritoneal dialysis
7966111000006117	Complies with analysis of peritoneal dialysate
7966181000006112	Inadequate monitoring of dose delivery of peritoneal dialysis
7965331000006115	Peritoneal dialysis finding
7965991000006115	Requires additional education about peritoneal dialysis
7966211000006111	Non-compliance with analysis of peritoneal dialysate
7966201000006113	Non-compliance with collection of peritoneal dialysate specimen
7966051000006115	Complies with collection of peritoneal dialysate specimen
7966361000006116	Peritoneal dialysis prescription compliance
7965921000006117	Peritoneal dialysate analysis compliance
7965931000006119	Peritoneal dialysate collection compliance
7622651000006116	2H post peritoneal dialysis
7622641000006118	Two hours after peritoneal dialysis
7622661000006119	Four hours after peritoneal dialysis
7622671000006114	4H post peritoneal dialysis
7622691000006110	12H post peritoneal dialysis
7622681000006112	Twelve hours after peritoneal dialysis
7622721000006117	24H post peritoneal dialysis
7622711000006113	Twenty four hours after peritoneal dialysis
7622701000006110	One day after peritoneal dialysis
7626811000006117	Increase exchange volume of peritoneal dialysis
7626821000006113	Increase number of perfusion exchanges per 24 hours of peritoneal dialysis
9351531000006119	Continuous cycling peritoneal dialysis dependence
9351521000006117	Dependence on continuous cycling peritoneal dialysis
9351541000006112	Dependence on continuous cyclic peritoneal dialysis
7663421000006114	Management of peritoneal dialysis
9351511000006113	Dependence on continuous ambulatory peritoneal dialysis
7691301000006112	Peritoneal dialysis catheterisation support kit
7691311000006110	Peritoneal dialysis catheterization support kit
7694951000006112	Replacement of continuous ambulatory peritoneal dialysis transfer set
7965381000006119	Error in prescription for peritoneal dialysis
7966231000006117	Compliant with peritoneal dialysis prescription
7966301000006117	Non-compliant with peritoneal dialysis prescription
7708331000006119	Sclerosing peritonitis as complication of peritoneal dialysis
7708341000006112	Sclerosing peritonitis due to peritoneal dialysis
7708351000006114	Hydrothorax as complication of peritoneal dialysis
7708361000006111	Hydrothorax due to peritoneal dialysis
7708411000006115	Abdominal hernia due to peritoneal dialysis
7708401000006118	Abdominal hernia as complication of peritoneal dialysis
7708441000006116	Haemoperitoneum as complication of peritoneal dialysis
7708461000006117	Hemoperitoneum as complication of peritoneal dialysis
7708451000006119	Hemoperitoneum due to peritoneal dialysis
7708471000006112	Haemoperitoneum due to peritoneal dialysis
7761641000006110	Peritoneal dialysis care assessment
7770551000006113	Peritoneal dialysis care
7960171000006111	Home-use peritoneal dialysis connection kit
7960181000006114	Home-use peritoneal dialysis connection kit housing
7960191000006112	Home-use peritoneal dialysis connection kit frame
7960271000006116	Peritoneal dialysis catheter adaptor, reusable
7960281000006118	Peritoneal dialysis catheter adaptor/dialysate line holder
