MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
1222236016	638	SD15	SD15.00	Insect bite, nonvenomous, of trunk, infected	19108007	1222236016		32
1224909014	11	SD158	SD15800	Insect bite, nonvenomous, of groin, infected	25726008	1224909014		32
1227372018	4	SD159	SD15900	Insect bite, nonvenomous, of perineum, infected	30818003	1227372018		32
1228045016	17	SD157	SD15700	Insect bite, nonvenomous, of flank, infected	33155001	1228045016		32
1228239018	16	SD15A	SD15A00	Insect bite, nonvenomous, of penis, infected	35057008	1228239018		32
1229350011	51	SD051	SD05100	Insect bite, nonvenomous, of neck, infected	37887002	1229350011		32
1229394017	558	SD654	SD65400	Insect bite, nonvenomous, of ankle, infected	38189003	1229394017		32
1229734018	3	SD15D	SD15D00	Insect bite, nonvenomous, of vagina, infected	4124006	1229734018		32
1229813018	46	SD154	SD15400	Insect bite, nonvenomous, of back, infected	41958008	1229813018		32
1230087012	1080	SD45	SD45.00	Insect bite, nonvenomous, of hand, infected	44352004	1230087012		32
1230279016	192	SD253	SD25300	Insect bite, nonvenomous, of upper arm, infected	45915002	1230279016		32
1230833017	45	SD155	SD15500	Insect bite, nonvenomous, of buttock, infected	50124004	1230833017		32
1231144016	573	SD55	SD55.00	Insect bite, nonvenomous, of finger, infected	52705001	1231144016		32
1231656016	65	SD151	SD15100	Insect bite, nonvenomous, of chest wall, infected	56892000	1231656016		32
1231961017	341	SD651	SD65100	Insect bite, nonvenomous, of thigh, infected	59443003	1231961017		32
1232069015	381	SD351	SD35100	Insect bite, nonvenomous, of forearm, infected	60298004	1232069015		32
1232979015	142	SD350	SD35000	Insect bite, nonvenomous, of elbow, infected	67862004	1232979015		32
1233248019	31	SD052	SD05200	Insect bite, nonvenomous, of scalp, infected	70294003	1233248019		32
1234003015	3	SD650	SD65000	Insect bite, nonvenomous, of hip, infected	76584003	1234003015		32
1234182013	8	SD250	SD25000	Insect bite, nonvenomous, of shoulder, infected	77874001	1234182013		32
1234441017	299	SD750	SD75000	Insect bite, nonvenomous, of foot, infected	801006	1234441017		32
1234897014	20	SD252	SD25200	Insect bite, nonvenomous, of axilla, infected	84070009	1234897014		32
1235626016	87	SD352	SD35200	Insect bite, nonvenomous, of wrist, infected	91060006	1235626016		32
1488395018	42032	2G5H	2G5H.00	O/E - Right diabetic foot - ulcerated	394673007	1488395018		27
1488396017	44657	2G5L	2G5L.00	O/E - Left diabetic foot - ulcerated	394674001	1488396017		27
1779345010	697639	M12z2	M12z200	Infected eczema	400079002	1779345010		32
1786733013	10967	M051	M051.00	Bullous impetigo	399183005	1786732015		32
1788084011	1144	SD35	SD35.00	Insect bite, nonvenomous, of lower arm, infected	60298004	1788084011		32
2532976019	1246	2G5W	2G5W.00	O/E - left chronic diabetic foot ulcer	414890007	2532976019		27
2532977011	1001	2G5V	2G5V.00	O/E - right chronic diabetic foot ulcer	414906009	2532977011		27
2974644018	3645	ESCTRE62		Recurrent cellulitis	698567002	2974644018		32
3525028015	2	^ESCT1165695		Acute phlegmonous appendicitis	735591005	3525028015		31
3636315019	1	^ESCT1168945		Cellulitis caused by Staphylococcus aureus	762284008	3636315019		31
84451000006112	30	C1085-2	C108512	Type 1 diabetes mellitus with ulcer	190368000	292540012		32
84631000006119	91	C1094-2	C109412	Type 2 diabetes mellitus with ulcer	190389009	292579018		32
84821000006118	20	C1085-1	C108511	Type I diabetes mellitus with ulcer	190368000	292538019		32
85001000006117	61	C1094-1	C109411	Type II diabetes mellitus with ulcer	190389009	292581016		32
219471000000116	25946	F5011-2	F501112	Cellulitis, external ear	232214001	347928014		32
229141000006119	75	K17-1	K17..11	Periurethritis	7253006	12972011		32
229151000006117	31	K1703-1	K170311	Periurethritis	7253006	12972011		32
230901000006114	143	H1y21	H1y2100	Pharynx or nasopharynx cellulitis	23166004	38903015		32
280551000006114	324	C1094	C109400	Non-insulin-dependent diabetes mellitus with ulcer	190389009	292580015		32
370601000006113	6332	M081	M081.00	[X]Cellulitis of other parts of limb	123951002	192440011		32
370621000006115	3303	M080-3	M080.13	[X]Cellulitis of thumb	19240003	32438017		32
453041000006115	761	M260z-1	M260z11	Acne necrotica	45072005	494096014		32
540851000006112	12377	M037-1	M037.11	Cellulitis and abscess of foot	267783003	399903012		32
540921000006112	6855	M034-1	M034.11	Cellulitis and abscess of hand	267780000	399899017		32
541011000006113	100687	M036	M036.00	Cellulitis and abscess of lower limb	449702005	2912778018		32
541051000006114	7845	M0301-1	M030111	Cellulitis and abscess of nose	267778006	399897015		32
541291000006111	76665	M0306	M030600	Cellulitis of face	200652002	308311019		32
541421000006113	893	M0328	M032800	Cellulitis of trunk	46876003	78133018		32
646471000006112	783	M2y7	M2y7.00	Eosinophilic cellulitis	238931006	358087013		32
771421000006113	73	C1085	C108500	Insulin dependent diabetes mellitus with ulcer	422183001	2623058011		32
773411000006116	1	SD15B-1	SD15B11	Insect bite, nonvenomous, of scrotum, infected	269197008	402988017		32
773451000006115	461	SD25	SD25.00	Insect bite, nonvenomous, of shoulder and upper arm, infected	211220005	322398014		32
773461000006118	1	SD15B-2	SD15B12	Insect bite, nonvenomous, of testis, infected	269197008	402988017		32
773661000006116	21	SD25z	SD25z00	Insect bite, nonvenomous, shoulder/upper arm, infected, NOS	211220005	322398014		32
773821000006114	500	SD05	SD05.00	Insect bite, nonvenomous, of head, infected	211012003	322118015		32
773881000006113	6	SD75-1	SD75.11	Insect bite, nonvenomous, of heel, infected	801006	1234441017		32
773931000006119	5	SD150	SD15000	Nonvenomous insect bite of interscapular region with infection	51882009	86382012		32
773941000006112	1	SD251	SD25100	Insect bite, nonvenomous, of interscapular region, infected	51882009	86382012		32
886951000006111	125	K272-99	K272.99	Penile cellulitis/abscess/boil	286983008	886951000006111		32
887111000006110	721	K403-99	K403.99	Acute pelvic inflam. dis. NOS	198154001	887111000006110		32
888941000006110	1292	M02-99	M02..99	Cellulitis/abscess -finger/toe	200628009	888941000006110		32
888961000006114	9376	M021-99	M021.99	Cellulitis - toe	200638004	888961000006114		32
888971000006119	1513	M02z-99	M02z.99	Cellulitis - digit NOS	666551000000101	888971000006119		32
